2018-05-03 15:53:40,650 | INFO  | Listening for connections at: tcp://Notebook-ssw:61626 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-05-03 15:53:40,856 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-05-03 15:53:41,058 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] started | org.apache.activemq.network.NetworkConnector | main
2018-05-03 15:53:41,060 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17345-1525330420412-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:53:41,061 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-05-03 15:53:41,939 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2018-05-03 15:53:42,092 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8163/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:53:42,093 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8163/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-05-03 15:53:42,189 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-05-03 15:53:42,410 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2018-05-03 15:53:42,610 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2018-05-03 15:54:25,572 | INFO  | Apache ActiveMQ 5.15.3 (dynamic-broker1, ID:Notebook-ssw-17345-1525330420412-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-17
2018-05-03 15:54:25,579 | INFO  | Network Connector DiscoveryNetworkConnector:NC:BrokerService[dynamic-broker1] stopped | org.apache.activemq.network.NetworkConnector | Thread-17
2018-05-03 15:54:25,582 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-17
2018-05-03 15:54:25,588 | INFO  | PListStore:[C:\Users\admin\Downloads\apache-activemq-5.15.3-bin(1)\apache-activemq-5.15.3\bin\cluster\dynamic-broker1\data\dynamic-broker1\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-17
